	14
borong    	0.00000 0.24552 0.28645 0.37596 0.37596 0.22762 0.36573 0.31714 0.23018 0.31458 0.21995 0.40153 0.37596 0.25064
burum     	0.24552 0.00000 0.39386 0.47826 0.32992 0.33504 0.44757 0.34783 0.08184 0.36061 0.30691 0.37596 0.35550 0.29156
dedua     	0.28645 0.39386 0.00000 0.25320 0.45780 0.21739 0.27366 0.39386 0.40921 0.39130 0.26087 0.46292 0.44246 0.27621
kate      	0.37596 0.47826 0.25320 0.00000 0.49616 0.44501 0.05115 0.42199 0.48849 0.42455 0.29923 0.50128 0.46547 0.46292
komba     	0.37596 0.32992 0.45780 0.49616 0.00000 0.46547 0.47570 0.32481 0.38107 0.32737 0.32481 0.11765 0.16880 0.45269
kube      	0.22762 0.33504 0.21739 0.44501 0.46547 0.00000 0.42455 0.41176 0.32481 0.40921 0.28389 0.48082 0.46036 0.11509
mape      	0.36573 0.44757 0.27366 0.05115 0.47570 0.42455 0.00000 0.40153 0.46803 0.40409 0.27366 0.48082 0.43990 0.43734
mesem     	0.31714 0.34783 0.39386 0.42199 0.32481 0.41176 0.40153 0.00000 0.37852 0.07928 0.28133 0.33504 0.28389 0.40409
mindik    	0.23018 0.08184 0.40921 0.48849 0.38107 0.32481 0.46803 0.37852 0.00000 0.38107 0.32225 0.42199 0.39130 0.28645
nabak     	0.31458 0.36061 0.39130 0.42455 0.32737 0.40921 0.40409 0.07928 0.38107 0.00000 0.27877 0.33248 0.31202 0.41688
ono       	0.21995 0.30691 0.26087 0.29923 0.32481 0.28389 0.27366 0.28133 0.32225 0.27877 0.00000 0.33504 0.30435 0.29668
selepet   	0.40153 0.37596 0.46292 0.50128 0.11765 0.48082 0.48082 0.33504 0.42199 0.33248 0.33504 0.00000 0.12788 0.47826
timbe     	0.37596 0.35550 0.44246 0.46547 0.16880 0.46036 0.43990 0.28389 0.39130 0.31202 0.30435 0.12788 0.00000 0.46292
tobo      	0.25064 0.29156 0.27621 0.46292 0.45269 0.11509 0.43734 0.40409 0.28645 0.41688 0.29668 0.47826 0.46292 0.00000
