Traits	Host
1	dog
2	rodent
3	rodent
4	elephant
5	dog
6	ruminant
7	ruminant
8	ruminant
9	ruminant
10	human
11	ruminant
12	ruminant
13	ruminant
14	ruminant
15	ruminant
16	ruminant
17	ruminant
18	ruminant
19	ruminant
20	ruminant
21	ruminant
22	ruminant
23	ruminant
24	human
25	human
26	human
27	human
28	human
29	fish
30	fish
31	fish
32	fish
33	fish
34	fish
35	human
36	human
37	human
38	human
39	human
40	ruminant
41	human
42	human
43	human
44	human
45	human
46	ruminant
47	elephant
48	rodent
49	dog
50	dog
51	dog
52	rodent
53	rodent
54	dog
55	dog
56	dog
57	other
58	ruminant
59	dog
60	dog
61	rodent
62	ruminant
63	ruminant
64	ruminant
65	ruminant
66	ruminant
67	ruminant
68	ruminant
69	ruminant
70	ruminant
71	ruminant
72	human
73	human
74	human
75	human
76	human
77	human
78	other
79	human
80	human
81	human
82	human
83	human
84	human
85	human
86	human
87	human
88	human
89	other
90	fish
91	fish
92	human
93	human
94	human
95	human
96	human
97	human
98	human
99	human
100	human
101	human
102	human
103	human
104	human
105	human
106	ruminant
107	ruminant
108	ruminant
109	human
110	human
111	human
112	human
113	human
114	human
115	human
116	human
117	dog
118	other
119	human
120	elephant
121	elephant
122	elephant
123	dog
124	dog
125	dog
126	human
127	ruminant
128	ruminant
129	ruminant
130	ruminant
131	human
132	ruminant
133	ruminant
134	ruminant
135	ruminant
136	ruminant
137	human
138	human
139	human
140	human
141	human
142	human
143	human
144	human
145	human
146	human
147	human
148	human
149	human
150	human
151	human
152	human
153	human
154	human
155	human
156	human
157	human
158	human
159	human
160	human
161	ruminant
162	human
163	human
164	human
165	human
166	human
167	human
168	human
169	human
170	human
171	human
172	human
173	human
174	human
175	human
176	human
177	human
178	human
179	human
180	human
181	human
182	human
183	human
184	human
185	human
186	dog
187	human
188	human
189	human
190	human
191	human
192	human
193	human
194	human
195	human
196	human
197	human
198	human
199	human
200	human
201	human
202	human
203	human
204	human
205	human
206	human
207	human
208	human
209	human
210	human
211	human
212	human
213	human
214	human
215	human
216	human
217	human
218	human
219	human
220	human
221	human
222	human
223	human
224	human
225	human
226	human
227	human
228	human
229	human
230	human
231	human
232	human
233	human
234	human
235	human
236	human
237	human
238	human
239	human
240	human
241	human
242	human
243	human
244	other
245	rodent
246	human
247	human
248	other
249	other
250	human
251	rodent
252	human
253	human
254	human
255	human
256	ruminant
